Year,Date,Avg
2020,7/15/2020,24.15
2020,7/16/2020,24.04
2020,7/17/2020,24.85
2020,7/18/2020,26.68
2020,7/19/2020,26.28
2020,7/20/2020,24.65
2020,7/21/2020,24.40
2020,7/22/2020,25.26
2020,7/23/2020,23.58
2020,7/24/2020,22.75
2020,7/25/2020,24.47
2020,7/26/2020,26.63
2020,7/27/2020,24.59
2020,7/28/2020,23.90
2020,7/29/2020,23.73
2020,7/30/2020,21.15
2020,7/31/2020,21.48
2020,8/1/2020,20.27
2020,8/2/2020,21.82
2020,8/3/2020,20.71
2020,8/4/2020,17.98
2020,8/5/2020,17.96
2020,8/6/2020,20.07
2020,8/7/2020,20.91
2020,8/8/2020,22.75
2020,8/9/2020,23.92
2020,8/10/2020,25.93
2020,8/11/2020,23.26
2020,8/12/2020,22.69
2020,8/13/2020,23.81
2020,8/14/2020,23.76
2020,8/15/2020,23.85
2020,8/16/2020,22.07
2020,8/17/2020,23.37
2020,8/18/2020,21.51
2020,8/19/2020,19.76
2020,8/20/2020,21.23
2020,8/21/2020,23.08
2020,8/22/2020,23.25
2020,8/23/2020,24.36
2020,8/24/2020,26.73
2020,8/25/2020,27.22
2020,8/26/2020,26.82
2020,8/27/2020,26.19
2020,8/28/2020,26.25
2020,8/29/2020,23.52
2020,8/30/2020,20.38
2020,8/31/2020,22.64
2020,9/1/2020,22.76
2020,9/2/2020,23.62
2020,9/3/2020,23.15
2020,9/4/2020,19.51
2020,9/5/2020,21.86
2020,9/6/2020,20.82
2020,9/7/2020,24.51
2020,9/8/2020,24.24
2020,9/9/2020,24.13
2020,9/10/2020,20.79
2020,9/11/2020,21.94
2020,9/12/2020,22.00
2020,9/13/2020,19.68
2020,9/14/2020,18.32
2020,9/15/2020,18.76
2020,9/16/2020,18.62
2020,9/17/2020,18.82
2020,9/18/2020,13.95
2020,9/19/2020,12.55
2020,9/20/2020,14.47
2020,9/21/2020,15.72
2020,9/22/2020,17.37
2020,9/23/2020,17.02
2020,9/24/2020,18.05
2020,9/25/2020,19.64
2020,9/26/2020,20.50
2020,9/27/2020,20.33
2020,9/28/2020,14.23
2020,9/29/2020,12.13
2020,9/30/2020,13.72
2020,10/1/2020,11.24
2020,10/2/2020,10.40
2020,10/3/2020,10.69
2020,10/4/2020,9.43
2020,10/5/2020,9.71
2020,10/6/2020,15.00
2020,10/7/2020,18.44
2020,10/8/2020,17.08
2020,10/9/2020,18.93
