variety,seeds,population,reps,kn_cob,cob,agw,kn,yield
CV7,50000,Low,20,560,173,308.93,3320,10255.44
CV7,50000,Low,21,756,213,281.75,4482,12626.64
CV7,50000,Low,22,640,200,312.5,3794,11856
CV7,50000,Low,23,688,225,327.03,4078,13338
CV7,50000,Low,24,738,219,296.75,4375,12982.32
CV7,50000,Low,25,720,197,273.61,4268,11678.16
CV7,50000,Low,26,560,217,387.5,3320,12863.76
CV7,50000,Low,27,560,209,373.21,3320,12389.52
CV7,50000,Low,28,608,201,330.59,3604,11915.28
CV7,50000,Low,29,666,201,301.8,3948,11915.28
CV7,50000,Low,30,640,222,346.88,3794,13160.16
CV7,50000,Low,31,544,217,398.9,3225,12863.76
CV7,50000,Low,32,528,224,424.24,3130,13278.72
CV7,50000,Low,33,528,228,431.82,3130,13515.84
CV7,50000,Low,34,496,204,411.29,2940,12093.12
CV7,50000,Low,35,496,216,435.48,2940,12804.48
CV7,50000,Low,36,490,201,410.2,2905,11915.28
CV7,50000,Low,37,544,229,420.96,3225,13575.12
CV7,50000,Low,38,576,221,383.68,3415,13100.88
CV7,50000,Low,39,544,203,373.16,3225,12033.84
CV7,50000,Low,40,648,213,328.7,3841,12626.64
CV7,50000,Low,41,760,229,301.32,4505,13575.12
CV7,50000,Low,42,576,223,387.15,3415,13219.44
CV7,50000,Low,43,544,222,408.09,3225,13160.16
CV7,50000,Low,44,504,214,424.6,2988,12685.92
CV7,50000,Low,45,576,228,395.83,3415,13515.84
CV7,50000,Low,46,576,223,387.15,3415,13219.44
CV7,50000,Low,47,576,213,369.79,3415,12626.64
CV7,50000,Low,48,560,220,392.86,3320,13041.6
CV7,50000,Low,49,576,223,387.15,3415,13219.44
CV7,50000,Low,50,576,232,402.78,3415,13752.96
CV8,100000,High,1,378,122,322.75,3548,11450.92
CV8,100000,High,2,352,85,241.48,3304,7978.1
CV8,100000,High,3,416,103,247.6,3905,9667.58
CV8,100000,High,4,352,88,250,3304,8259.68
CV8,100000,High,5,460,122,265.22,4318,11450.92
CV8,100000,High,6,352,102,289.77,3304,9573.72
CV8,100000,High,7,414,118,285.02,3886,11075.48
CV8,100000,High,8,384,105,273.44,3604,9855.3
CV8,100000,High,9,468,135,288.46,4393,12671.1
CV8,100000,High,10,384,103,268.23,3604,9667.58
CV8,100000,High,11,496,150,302.42,4655,14079
CV8,100000,High,12,558,153,274.19,5237,14360.58
CV8,100000,High,13,448,130,290.18,4205,12201.8
CV8,100000,High,14,512,150,292.97,4806,14079
CV8,100000,High,15,480,145,302.08,4505,13609.7
CV8,100000,High,16,496,149,300.4,4655,13985.14
CV8,100000,High,17,512,159,310.55,4806,14923.74
CV8,100000,High,18,464,135,290.95,4355,12671.1
CV8,100000,High,19,540,169,312.96,5068,15862.34
CV8,100000,High,20,336,106,315.48,3154,9949.16
CV8,100000,High,21,528,175,331.44,4956,16425.5
CV8,100000,High,22,576,196,340.28,5406,18396.56
CV8,100000,High,23,522,150,287.36,4899,14079
CV8,100000,High,24,600,193,321.67,5632,18114.98
CV8,100000,High,25,540,151,279.63,5068,14172.86
CV8,100000,High,26,540,167,309.26,5068,15674.62
CV8,100000,High,27,540,199,368.52,5068,18678.14
CV8,100000,High,28,640,180,281.25,6007,16894.8
CV8,100000,High,29,576,168,291.67,5406,15768.48
CV8,100000,High,30,660,205,310.61,6195,19241.3
CV8,100000,High,31,558,149,267.03,5237,13985.14
CV8,100000,High,32,528,184,348.48,4956,17270.24
CV8,100000,High,34,544,162,297.79,5106,15205.32
CV8,100000,High,35,544,176,323.53,5106,16519.36
CV8,100000,High,36,522,121,231.8,4899,11357.06
CV8,100000,High,37,512,179,349.61,4806,16800.94
CV8,100000,High,38,540,170,314.81,5068,15956.2
CV8,100000,High,39,464,137,295.26,4355,12858.82
CV8,100000,High,40,620,167,269.35,5819,15674.62
CV8,50000,Low,1,594,194,326.6,3521,11500.32
CV8,50000,Low,2,576,173,300.35,3415,10255.44
CV8,50000,Low,3,560,172,307.14,3320,10196.16
CV8,50000,Low,4,558,204,365.59,3308,12093.12
CV8,50000,Low,5,666,223,334.83,3948,13219.44
CV8,50000,Low,6,512,179,349.61,3035,10611.12
CV8,50000,Low,7,560,196,350,3320,11618.88
CV8,50000,Low,8,558,200,358.42,3308,11856
CV8,50000,Low,9,558,207,370.97,3308,12270.96
CV8,50000,Low,10,540,185,342.59,3201,10966.8
CV8,50000,Low,11,640,223,348.44,3794,13219.44
CV8,50000,Low,12,624,211,338.14,3699,12508.08
CV8,50000,Low,13,624,198,317.31,3699,11737.44
CV8,50000,Low,14,624,217,347.76,3699,12863.76
CV8,50000,Low,15,592,206,347.97,3509,12211.68
CV8,50000,Low,16,576,220,381.94,3415,13041.6
CV8,50000,Low,17,608,209,343.75,3604,12389.52
CV8,50000,Low,18,666,187,280.78,3948,11085.36
CV8,50000,Low,19,648,219,337.96,3841,12982.32
CV8,50000,Low,20,630,225,357.14,3735,13338
CV8,50000,Low,21,528,236,446.97,3130,13990.08
CV8,50000,Low,22,700,236,337.14,4150,13990.08
CV8,50000,Low,23,544,224,411.76,3225,13278.72
CV8,50000,Low,24,560,226,403.57,3320,13397.28
CV8,50000,Low,25,576,218,378.47,3415,12923.04
CV8,50000,Low,26,560,227,405.36,3320,13456.56
CV8,50000,Low,27,594,243,409.09,3521,14405.04
CV8,50000,Low,28,594,195,328.28,3521,11559.6
CV8,50000,Low,29,640,241,376.56,3794,14286.48
CV8,50000,Low,30,612,257,419.93,3628,15234.96
CV8,50000,Low,31,612,253,413.4,3628,14997.84
CV8,50000,Low,32,528,224,424.24,3130,13278.72
CV8,50000,Low,33,560,242,432.14,3320,14345.76
CV8,50000,Low,34,612,266,434.64,3628,15768.48
CV8,50000,Low,35,700,254,362.86,4150,15057.12
CV8,50000,Low,36,576,216,375,3415,12804.48
CV8,50000,Low,37,612,243,397.06,3628,14405.04
CV8,50000,Low,38,600,234,390,3557,13871.52
CV8,50000,Low,39,612,253,413.4,3628,14997.84
CV8,50000,Low,40,544,225,413.6,3225,13338
CV9,100000,High,1,350,114,325.71,3285,10700.04
CV9,100000,High,2,414,118,285.02,3886,11075.48
CV9,100000,High,3,448,120,267.86,4205,11263.2
CV9,100000,High,4,450,126,280,4224,11826.36
CV9,100000,High,5,512,139,271.48,4806,13046.54
CV9,100000,High,6,392,137,349.49,3679,12858.82
CV9,100000,High,7,480,139,289.58,4505,13046.54
CV9,100000,High,8,448,129,287.95,4205,12107.94
CV9,100000,High,9,480,133,277.08,4505,12483.38
CV9,100000,High,10,504,141,279.76,4731,13234.26
CV9,100000,High,11,522,138,264.37,4899,12952.68
CV9,100000,High,12,504,137,271.83,4731,12858.82
CV9,100000,High,13,384,107,278.65,3604,10043.02
CV9,100000,High,14,480,,,4505,
CV9,100000,High,15,420,137,326.19,3942,12858.82
CV9,100000,High,16,496,120,241.94,4655,11263.2
CV9,100000,High,17,522,129,247.13,4899,12107.94
CV9,100000,High,18,544,139,255.51,5106,13046.54
CV9,100000,High,19,504,138,273.81,4731,12952.68
CV9,100000,High,20,512,137,267.58,4806,12858.82
CV9,100000,High,21,420,117,278.57,3942,10981.62
CV9,100000,High,22,486,119,244.86,4562,11169.34
CV9,100000,High,23,600,152,253.33,5632,14266.72
CV9,100000,High,24,496,128,258.06,4655,12014.08
CV9,100000,High,25,464,130,280.17,4355,12201.8
CV9,100000,High,26,496,129,260.08,4655,12107.94
CV9,100000,High,27,522,133,254.79,4899,12483.38
CV9,100000,High,28,480,119,247.92,4505,11169.34
CV9,100000,High,29,464,130,280.17,4355,12201.8
CV9,100000,High,30,480,123,256.25,4505,11544.78
CV9,100000,High,31,448,155,345.98,4205,14548.3
CV9,100000,High,32,512,201,392.58,4806,18865.86
CV9,100000,High,33,544,214,393.38,5106,20086.04
CV9,100000,High,34,528,165,312.5,4956,15486.9
CV9,100000,High,35,544,216,397.06,5106,20273.76
CV9,100000,High,36,448,185,412.95,4205,17364.1
CV9,100000,High,37,512,196,382.81,4806,18396.56
CV9,100000,High,38,522,176,337.16,4899,16519.36
CV9,100000,High,39,558,196,351.25,5237,18396.56
CV9,100000,High,40,540,191,353.7,5068,17927.26
CV9,100000,High,41,448,153,341.52,4205,14360.58
CV9,100000,High,42,620,152,245.16,5819,14266.72
CV9,100000,High,43,558,156,279.57,5237,14642.16
CV9,100000,High,44,496,167,336.69,4655,15674.62
CV9,100000,High,45,512,163,318.36,4806,15299.18
CV9,100000,High,46,558,165,295.7,5237,15486.9
CV9,100000,High,47,576,166,288.19,5406,15580.76
CV9,100000,High,48,512,170,332.03,4806,15956.2
CV9,100000,High,49,512,162,316.41,4806,15205.32
CV9,100000,High,50,576,149,258.68,5406,13985.14
CV9,50000,Low,1,594,174,292.93,3521,10314.72
CV9,50000,Low,2,560,196,350,3320,11618.88
CV9,50000,Low,3,544,182,334.56,3225,10788.96
CV9,50000,Low,4,594,190,319.87,3521,11263.2
CV9,50000,Low,5,528,176,333.33,3130,10433.28
CV9,50000,Low,6,612,185,302.29,3628,10966.8
CV9,50000,Low,7,558,185,331.54,3308,10966.8
CV9,50000,Low,8,640,195,304.69,3794,11559.6
CV9,50000,Low,9,592,175,295.61,3509,10374
CV9,50000,Low,10,576,176,305.56,3415,10433.28
CV9,50000,Low,11,612,180,294.12,3628,10670.4
CV9,50000,Low,12,648,190,293.21,3841,11263.2
CV9,50000,Low,13,544,196,360.29,3225,11618.88
CV9,50000,Low,14,608,203,333.88,3604,12033.84
CV9,50000,Low,15,624,209,334.94,3699,12389.52
CV9,50000,Low,16,592,217,366.55,3509,12863.76
CV9,50000,Low,17,672,205,305.06,3984,12152.4
CV9,50000,Low,18,640,213,332.81,3794,12626.64
CV9,50000,Low,19,546,188,344.32,3237,11144.64
CV9,50000,Low,20,592,197,332.77,3509,11678.16
CV9,50000,Low,21,560,203,362.5,3320,12033.84
CV9,50000,Low,22,756,212,280.42,4482,12567.36
CV9,50000,Low,23,738,223,302.17,4375,13219.44
CV9,50000,Low,24,630,207,328.57,3735,12270.96
CV9,50000,Low,25,666,207,310.81,3948,12270.96
CV9,50000,Low,26,640,209,326.56,3794,12389.52
CV9,50000,Low,27,648,213,328.7,3841,12626.64
CV9,50000,Low,28,576,192,333.33,3415,11381.76
CV9,50000,Low,29,608,207,340.46,3604,12270.96
CV9,50000,Low,30,608,192,315.79,3604,11381.76
CV9,50000,Low,31,576,239,414.93,3415,14167.92
CV9,50000,Low,32,512,221,431.64,3035,13100.88
CV9,50000,Low,33,544,229,420.96,3225,13575.12
CV9,50000,Low,34,612,209,341.5,3628,12389.52
CV9,50000,Low,35,544,221,406.25,3225,13100.88
CV9,50000,Low,36,528,193,365.53,3130,11441.04
CV9,50000,Low,37,612,227,370.92,3628,13456.56
CV9,50000,Low,38,544,201,369.49,3225,11915.28
CV9,50000,Low,39,512,208,406.25,3035,12330.24
CV9,50000,Low,40,660,220,333.33,3912,13041.6
CV9,50000,Low,41,608,234,384.87,3604,13871.52
CV9,50000,Low,42,612,231,377.45,3628,13693.68
CV9,50000,Low,43,560,221,394.64,3320,13100.88
CV9,50000,Low,44,612,215,351.31,3628,12745.2
CV9,50000,Low,45,576,225,390.63,3415,13338
CV9,50000,Low,47,560,244,435.71,3320,14464.32
CV9,50000,Low,48,680,226,332.35,4031,13397.28
CV9,50000,Low,49,660,221,334.85,3912,13100.88
CV9,50000,Low,50,576,230,399.31,3415,13634.4
