Year,Date,planting_date,Max,Min,Avg
2024,6-May,Apr_15,24.88,11.01,18.26
2024,7-May,Apr_15,26.94,15.52,20.9
2024,8-May,Apr_15,26.94,13.7,20.82
2024,9-May,Apr_15,22.72,11.51,18.41
2024,10-May,Apr_15,20.47,9.01,15.17
2024,11-May,Apr_15,22.39,11.42,16.68
2024,12-May,Apr_15,27.05,11.6,19.48
2024,13-May,Apr_15,25.19,14.85,19.52
2024,14-May,Apr_15,19.4,14.27,17.14
2024,15-May,Apr_15,23.83,12.59,18.05
2024,16-May,Apr_15,22.55,12.29,17.7
2024,17-May,Apr_15,25.52,16.03,20.61
2024,18-May,Apr_15,27.63,14.91,21.99
2024,19-May,Apr_15,29.95,16.76,24.07
2024,20-May,Apr_15,29.02,17.8,23.45
2024,21-May,Apr_15,29.56,19.31,24.58
2024,22-May,Apr_15,24.74,15.28,20.09
2024,23-May,Apr_15,26.77,12.47,20.44
2024,24-May,Apr_15,26.78,17.51,21.96
2024,25-May,Apr_15,25.23,14.67,20.19
2024,26-May,Apr_15,24.26,14.65,19.62
2024,27-May,Apr_15,24.09,14.69,18.87
2024,28-May,Apr_15,23.94,12.71,18.41
2024,29-May,Apr_15,22.13,10.62,16.75
2024,30-May,Apr_15,23.81,8.26,16.76
2024,31-May,Apr_15,24.4,12.02,18.64
2024,1-Jun,Apr_15,23.44,15.15,18.9
2024,2-Jun,Apr_15,24.54,15.55,19.82
2024,3-Jun,Apr_15,28.18,15.46,22.61
2024,4-Jun,Apr_15,25.2,19.23,22.06
2024,5-Jun,Apr_15,25.1,16.94,21.65
2024,6-Jun,Apr_15,25.58,15.69,20.47
2024,7-Jun,Apr_15,25.3,12.86,19.89
2024,8-Jun,Apr_15,23.65,15.33,19.75
2024,9-Jun,Apr_15,25.11,12.5,18.67
2024,10-Jun,Apr_15,20.68,10.05,15.54
2024,11-Jun,Apr_15,24.01,10.6,17.58
2024,12-Jun,Apr_15,28.55,13.8,21.65
2024,13-Jun,Apr_15,29.01,16.77,23.58
2024,14-Jun,Apr_15,29.22,18.14,24.37
2024,15-Jun,Apr_15,28.52,15.1,22.2
2024,16-Jun,Apr_15,29.35,16.02,24.02
2024,17-Jun,Apr_15,30.51,22.87,26.08
2024,18-Jun,Apr_15,28.03,21.3,24.42
2024,19-Jun,Apr_15,30.29,20.91,25.64
2024,20-Jun,Apr_15,31.14,19.87,26.08
2024,21-Jun,Apr_15,30.8,20.34,25.78
2024,22-Jun,Apr_15,30.22,20.88,25.94
2024,23-Jun,Apr_15,28.54,18.98,24.56
2024,24-Jun,Apr_15,29.55,18.73,24.42
2024,25-Jun,Apr_15,30.42,21.37,25.23
2024,26-Jun,Apr_15,27.4,19.51,24.26
2024,27-Jun,Apr_15,26.04,16.77,20.8
2024,28-Jun,Apr_15,27.9,16.8,23.24
2024,29-Jun,Apr_15,29.05,21.62,25.73
2024,30-Jun,Apr_15,23.52,11.75,19.4
2024,1-Jul,Apr_15,23.34,10.27,17.48
2024,2-Jul,Apr_15,27.44,15.4,21.85
2024,3-Jul,Apr_15,28.55,21.34,24.22
2024,4-Jul,Apr_15,26.8,20.28,23.47
2024,5-Jul,Apr_15,27.6,18.03,22.51
2024,6-Jul,Apr_15,26.61,16.13,22.01
2024,7-Jul,Apr_15,28.84,18.25,24.1
2024,8-Jul,Apr_15,28.16,19.29,23.73
2024,9-Jul,Apr_15,24.66,17.43,21.92
2024,10-Jul,Apr_15,27.72,14.39,21.9
2024,11-Jul,Apr_15,27.85,19.37,23.61
2024,12-Jul,Apr_15,27.79,16.88,22.76
2024,13-Jul,Apr_15,28.46,19.75,24.4
2024,14-Jul,Apr_15,29.13,22.62,26.04
2024,15-Jul,Apr_15,31.11,23.66,27.23
2024,16-Jul,Apr_15,27.14,21.57,24.85
2024,17-Jul,Apr_15,27.51,17.41,23.4
2024,18-Jul,Apr_15,23.55,14.26,18.98
2024,19-Jul,Apr_15,24.8,12,19.23
2024,20-Jul,Apr_15,25.65,14.27,20.79
2024,21-Jul,Apr_15,26.05,16.46,21.83
2024,22-Jul,Apr_15,27.05,17.22,23.06
2024,23-Jul,Apr_15,27.7,18.63,23.52
2024,24-Jul,Apr_15,28.37,19.1,23.81
2024,25-Jul,Apr_15,26.35,16.69,21.67
2024,26-Jul,Apr_15,25.8,13.46,20.08
2024,27-Jul,Apr_15,26.97,13.75,21.43
2024,28-Jul,Apr_15,27.4,20.03,23.28
2024,29-Jul,Apr_15,28.04,21.29,24.32
2024,30-Jul,Apr_15,30.19,20.36,25.4
