grain_weight_mg,grain_area_mm2
50.470,19.500
57.790,20.400
52.160,20.000
44.140,17.800
51.950,19.600
40.470,17.000
61.480,22.600
42.660,17.500
45.650,18.300
43.360,17.500
46.900,18.400
44.380,17.800
47.220,18.800
51.600,20.100
51.090,18.900
49.890,19.400
46.670,18.100
44.690,17.400
48.120,18.300
48.370,19.700
56.710,21.100
51.710,19.000
47.870,18.400
44.980,17.800
47.320,19.200
41.470,16.700
46.180,18.700
51.510,19.600
46.060,18.400
44.310,18.200
53.350,20.100
44.910,18.200
47.600,18.300
45.940,18.300
45.440,18.800
49.330,18.600
46.550,18.300
43.350,17.900
47.140,19.000
42.190,17.400
48.050,19.800
48.220,18.500
47.290,18.500
46.720,18.100
40.530,17.400
43.650,16.900
41.970,16.700
48.460,18.700
45.890,17.700
39.640,17.500
46.430,18.700
43.650,17.700
48.790,19.600
55.820,20.200
46.590,18.400
42.010,17.600
41.020,16.700
48.670,18.200
44.130,17.500
48.160,18.800
47.630,18.300
49.490,19.100
50.250,19.600
51.140,19.600
50.120,18.900
49.150,18.500
48.720,18.900
46.100,18.000
40.270,17.400
44.150,17.200
48.190,19.100
45.870,18.300
47.060,18.500
42.170,17.000
40.880,16.600
46.990,18.100
53.970,19.800
37.320,15.600
40.180,16.800
50.200,18.900
43.780,17.200
41.580,17.500
46.350,19.200
51.060,20.000
48.720,19.400
40.480,17.600
57.350,21.300
46.420,17.900
52.800,19.600
47.150,18.800
46.510,18.900
47.650,18.200
52.320,19.800
53.280,21.300
50.160,19.300
49.760,18.400
46.320,17.700
46.920,18.600
50.200,19.000
50.660,18.600
46.870,18.200
53.440,19.400
47.530,18.400
53.330,20.200
51.580,18.700
54.220,19.900
47.930,18.600
42.270,17.500
48.610,19.600
44.740,17.700
46.290,19.000
40.910,17.700
47.890,18.700
50.550,19.100
49.450,18.600
39.740,16.500
46.840,18.300
47.730,18.800
48.910,18.900
46.210,18.600
50.110,19.600
43.520,17.400
45.690,18.600
45.590,17.700
47.710,18.600
43.990,17.600
43.390,17.500
56.510,20.900
42.970,17.400
43.500,17.500
44.240,18.500
39.030,16.500
47.080,19.600
49.360,18.800
40.610,16.500
46.410,19.100
50.720,19.900
50.750,19.300
37.560,17.000
45.090,17.800
43.990,17.400
35.750,15.900
41.360,17.400
48.020,18.600
53.940,20.000
52.910,19.400
49.570,19.500
42.930,17.200
46.160,18.400
51.120,19.700
52.240,20.800
43.850,17.700
44.020,18.000
39.960,16.600
49.490,19.800
48.950,18.600
45.230,18.300
51.060,19.500
44.230,18.100
45.190,17.500
51.960,19.600
51.810,19.400
44.290,17.100
45.480,17.900
50.090,20.100
44.770,17.500
33.440,15.500
53.610,20.000
49.070,18.500
46.310,18.100
51.690,18.900
47.670,18.500
49.760,19.100
48.810,19.000
52.950,20.400
53.260,20.100
50.000,19.900
52.910,20.100
42.960,17.600
45.670,19.100
46.870,18.400
48.440,19.000
46.100,17.800
43.320,16.900
48.930,19.100
56.520,21.100
47.460,18.400
50.650,19.300
48.940,18.900
48.280,19.400
46.760,18.400
47.250,18.600
45.160,18.200
43.600,17.200
47.900,18.800
52.260,19.700
50.290,18.800
42.110,18.400
51.750,20.600
50.680,19.800
38.450,16.100
45.120,18.300
47.770,18.300
49.600,19.200
51.750,20.200
45.620,18.100
44.590,17.400
46.100,18.200
49.160,19.200
55.270,20.800
35.170,15.200
46.330,18.000
51.970,19.200
42.640,17.900
44.680,18.000
45.320,18.400
45.780,18.200
45.940,18.700
42.640,17.500
56.560,20.600
48.810,19.300
51.110,18.500
48.640,18.200
43.910,17.300
56.080,20.000
50.560,19.000
46.310,18.000
50.690,19.600
51.510,19.500
50.120,19.000
44.650,17.300
49.430,20.100
44.860,18.800
46.980,19.100
55.360,20.600
41.640,17.300
49.800,19.000
46.500,18.200
47.270,18.400
43.180,16.400
46.040,18.200
54.740,19.800
47.590,19.200
39.750,16.100
47.880,18.900
41.050,17.000
39.070,16.800
45.220,17.100
50.390,18.600
44.810,17.400
51.050,18.300
41.350,16.300
58.980,20.800
44.980,17.900
47.110,18.700
38.650,16.400
48.900,19.400
48.280,18.100
44.110,17.400
51.940,19.300
50.570,18.600
42.970,17.200
49.490,18.100
39.470,16.400
51.830,19.900
45.030,18.900
54.060,20.300
46.470,17.900
50.080,19.800
49.490,18.000
53.950,18.900
55.900,20.700
52.920,19.700
48.870,17.600
39.280,17.500
52.740,19.800
50.130,18.400
47.510,18.200
47.590,19.000
43.380,17.100
47.300,18.700
52.330,20.300
48.430,18.400
49.510,18.600
38.650,16.500
46.380,18.600
41.010,16.100
51.800,19.700
45.670,18.200
48.930,19.400
37.340,16.000
53.530,19.600
45.090,17.600
54.210,20.300
50.090,19.500
50.970,19.000
48.890,19.300
49.610,20.000
48.440,18.400
42.970,17.100
51.900,19.400
48.690,18.600
48.560,19.000
48.010,17.800
49.500,19.000
52.860,20.900
