date,temp
18-Nov,3.71
19-Nov,10.76
20-Nov,13.31
21-Nov,7.07
22-Nov,3.59
23-Nov,3.24
24-Nov,5.98
25-Nov,9.84
26-Nov,5.46
27-Nov,3.51
28-Nov,1.68
29-Nov,3.18
30-Nov,-0.48
1-Dec,-3.22
2-Dec,-0.47
3-Dec,1.15
4-Dec,1.59
5-Dec,0.51
6-Dec,-0.82
7-Dec,0.65
8-Dec,0.49
9-Dec,4.75
10-Dec,5.61
11-Dec,8.23
12-Dec,6.31
13-Dec,0.3
14-Dec,-2.77
15-Dec,-2.58
16-Dec,-2.06
17-Dec,-1.74
18-Dec,-0.88
19-Dec,2.19
20-Dec,0.23
21-Dec,3
22-Dec,1.08
23-Dec,5.48
24-Dec,-7.22
25-Dec,-9.28
26-Dec,-3.65
27-Dec,1.97
28-Dec,-2.22
29-Dec,-2.98
30-Dec,0.46
31-Dec,-3.34
1-Jan,-0.45
2-Jan,-0.81
3-Jan,-1.76
4-Jan,-1.75
5-Jan,-0.75
6-Jan,-1.73
7-Jan,-1.37
8-Jan,-0.81
9-Jan,-2.53
10-Jan,-4.05
11-Jan,-5.04
12-Jan,-1.05
13-Jan,1.82
14-Jan,1.04
15-Jan,-0.93
16-Jan,-0.63
17-Jan,-1.92
18-Jan,-2.14
19-Jan,-2.13
20-Jan,-3.77
21-Jan,1.19
22-Jan,-4.95
23-Jan,-5.77
24-Jan,-0.64
25-Jan,-1.03
26-Jan,-1.19
27-Jan,-5.34
28-Jan,-6.95
29-Jan,-4.07
30-Jan,-0.83
31-Jan,-0.1
1-Feb,-4.81
2-Feb,-6.44
3-Feb,-6.31
4-Feb,-1.92
5-Feb,-8.27
6-Feb,-11.42
7-Feb,-17.94
8-Feb,-11.27
9-Feb,-11.71
10-Feb,-9.69
11-Feb,-8.47
12-Feb,-10.2
13-Feb,-14.3
14-Feb,-19.05
15-Feb,-14.75
16-Feb,-14.8
17-Feb,-12.05
18-Feb,-9.17
19-Feb,-10.5
20-Feb,-5.37
21-Feb,-1.62
22-Feb,1.48
23-Feb,4.51
24-Feb,5.64
25-Feb,1.92
26-Feb,2.76
27-Feb,6.4
28-Feb,7.9
1-Mar,-0.48
2-Mar,0.32
3-Mar,5.44
4-Mar,1.89
5-Mar,1.19
6-Mar,3.66
7-Mar,4.08
8-Mar,9.26
9-Mar,10.8
10-Mar,13.96
11-Mar,11.64
12-Mar,7.05
13-Mar,6.03
14-Mar,7.08
15-Mar,1.31
16-Mar,3.35
17-Mar,6.61
18-Mar,4.51
19-Mar,2.23
20-Mar,4.33
21-Mar,8.54
22-Mar,11.14
23-Mar,13.62
24-Mar,12.47
25-Mar,9.39
26-Mar,7.77
27-Mar,13.26
28-Mar,5.73
29-Mar,7.83
30-Mar,12.06
31-Mar,4.05
1-Apr,-0.07
2-Apr,2.08
3-Apr,9.22
4-Apr,14.13
5-Apr,16.39
6-Apr,18.05
7-Apr,19.51
8-Apr,13.98
9-Apr,15.38
10-Apr,14.06
11-Apr,9.14
12-Apr,11.47
13-Apr,9.97
14-Apr,8.05
15-Apr,7.28
16-Apr,9.58
17-Apr,9.66
18-Apr,10.79
19-Apr,9.48
20-Apr,2.16
21-Apr,3.97
22-Apr,6.11
23-Apr,9.72
24-Apr,10.8
25-Apr,9.75
26-Apr,14.77
27-Apr,20.65
28-Apr,19.14
29-Apr,15.52
30-Apr,12.58
1-May,15.19
2-May,17.69
3-May,18.13
4-May,13.59
5-May,12.26
6-May,10.58
7-May,11.03
8-May,9.26
9-May,7.35
10-May,10
11-May,9.16
12-May,9.26
13-May,12.59
14-May,14.9
15-May,14.83
16-May,15.9
17-May,16.48
18-May,18.21
19-May,20.52
20-May,21.75
21-May,21.74
22-May,21.57
23-May,23.52
24-May,23.77
25-May,23.87
26-May,21.84
27-May,20.37
28-May,13.58
29-May,11.42
30-May,14.28
31-May,16.26
1-Jun,17.51
2-Jun,18.46
3-Jun,20.62
4-Jun,22.36
5-Jun,23.13
6-Jun,23.12
7-Jun,23.45
8-Jun,23.64
9-Jun,23.66
10-Jun,25.11
11-Jun,27.31
12-Jun,27.79
13-Jun,25.25
14-Jun,22.77
15-Jun,21.67
16-Jun,20.2
17-Jun,22.24
18-Jun,25.69
19-Jun,24.79
20-Jun,25.4
21-Jun,20.01
22-Jun,17.55
23-Jun,20.12
24-Jun,21.99
25-Jun,24.57
26-Jun,25.62
27-Jun,26.22
28-Jun,26.05
29-Jun,25.58
30-Jun,23.53
1-Jul,22.37
2-Jul,18.31
3-Jul,20.22
4-Jul,23.23
5-Jul,24.37
6-Jul,25.49
7-Jul,25.62
8-Jul,23.95
9-Jul,20.69
10-Jul,21.23
11-Jul,22.15
12-Jul,22.78
13-Jul,22.83
14-Jul,24.31
15-Jul,25.45
16-Jul,22.72
17-Jul,22.55
18-Jul,22.27
19-Jul,22.72
20-Jul,22.94
21-Jul,22.79
22-Jul,23.92
23-Jul,25.63
24-Jul,26.45
25-Jul,25.76
26-Jul,24.01
27-Jul,25.55
28-Jul,25.42
29-Jul,26.02
30-Jul,21.23
31-Jul,17.94
1-Aug,20.43
2-Aug,19.54
3-Aug,20.51
4-Aug,21.92
5-Aug,23.06
6-Aug,22.62
7-Aug,24.51
8-Aug,25.38
9-Aug,24.54
10-Aug,26.98
11-Aug,26.46
12-Aug,24.71
13-Aug,23.48
14-Aug,21.29
15-Aug,19.92
16-Aug,21.88
17-Aug,24.14
18-Aug,25.26
19-Aug,25.51
20-Aug,25.41
21-Aug,25
22-Aug,25.56
23-Aug,25.83
24-Aug,27.3
25-Aug,26.72
26-Aug,25.94
27-Aug,25.98
28-Aug,26.43
29-Aug,26.65
30-Aug,24.62
31-Aug,23.5
1-Sep,20.44
2-Sep,19.45
3-Sep,20.43
4-Sep,20.12
5-Sep,19.83
6-Sep,21.92
7-Sep,22.97
8-Sep,19.72
9-Sep,18.76
10-Sep,19.83
11-Sep,22.44
12-Sep,23.31
13-Sep,23.29
14-Sep,24.79
15-Sep,20.33
16-Sep,20.77
17-Sep,24.05
18-Sep,24.79
19-Sep,24.58
20-Sep,23.79
21-Sep,19.19
22-Sep,14.5
23-Sep,13.42
24-Sep,16.71
25-Sep,15.05
26-Sep,17.19
27-Sep,21.31
28-Sep,20.63
29-Sep,22.23
30-Sep,22.43
1-Oct,21.3
2-Oct,20.8
3-Oct,20.58
4-Oct,19.46
5-Oct,19.48
6-Oct,19.75
7-Oct,19.9
8-Oct,19.48
9-Oct,21.36
10-Oct,23.15
11-Oct,21.1
12-Oct,16.99
13-Oct,17.95
14-Oct,20.04
15-Oct,15.59
16-Oct,9.83
17-Oct,10.94
18-Oct,12.9
19-Oct,12.61
20-Oct,15.5
21-Oct,11.58
22-Oct,10.12
23-Oct,8.67
24-Oct,14.67
25-Oct,10.4
26-Oct,8.4
27-Oct,8.75
28-Oct,10.2
29-Oct,11.65
30-Oct,11.38
31-Oct,8.37
1-Nov,3.22
2-Nov,2.3
3-Nov,2.37
4-Nov,3.77
5-Nov,3.73
6-Nov,5.55
7-Nov,8.59
8-Nov,10.98
9-Nov,9.87
10-Nov,11.33
11-Nov,10
12-Nov,3.71
13-Nov,1.51
14-Nov,1.5
15-Nov,1.05
16-Nov,6.46
17-Nov,13.09
18-Nov,1.72
19-Nov,-0.62
20-Nov,4.58
21-Nov,6.88
22-Nov,-2.63
23-Nov,-0.2
24-Nov,5.71
25-Nov,3.49
26-Nov,-3.35
27-Nov,1.89
28-Nov,-0.86
29-Nov,1.19
30-Nov,4.75
1-Dec,6
2-Dec,8.6
3-Dec,7.06
4-Dec,3.18
5-Dec,6.05
6-Dec,-0.64
7-Dec,-5.21
8-Dec,-1.21
9-Dec,2.71
10-Dec,8.71
11-Dec,3.94
12-Dec,2.05
13-Dec,2.85
14-Dec,5.98
15-Dec,13.72
16-Dec,7.39
17-Dec,0.26
18-Dec,1.73
19-Dec,-1.93
20-Dec,-0.77
21-Dec,0.28
22-Dec,-2.67
23-Dec,2.89
24-Dec,11.67
25-Dec,10.22
26-Dec,4.73
27-Dec,9.44
28-Dec,1.66
29-Dec,1.09
30-Dec,2.33
31-Dec,7.65
1-Jan,2.17
2-Jan,-4.34
3-Jan,-7.18
4-Jan,-2.11
5-Jan,-7.16
6-Jan,-11.6
7-Jan,-12.74
8-Jan,-3.74
9-Jan,-3.37
10-Jan,-8.27
11-Jan,-5.42
12-Jan,0.94
13-Jan,0.59
14-Jan,0.41
15-Jan,-3.27
16-Jan,-5.57
17-Jan,-4.74
18-Jan,-0.42
19-Jan,-3.54
20-Jan,-11.63
21-Jan,-8.85
22-Jan,-5.36
23-Jan,-4.17
24-Jan,-3.5
25-Jan,-10.91
26-Jan,-13.71
