date,temp
5-Nov,9.1
6-Nov,14.62
7-Nov,12.05
8-Nov,16.77
9-Nov,9.38
10-Nov,5.93
11-Nov,4.15
12-Nov,6.65
13-Nov,7.96
14-Nov,6.86
15-Nov,8.26
16-Nov,12.03
17-Nov,11
18-Nov,4.74
19-Nov,6.58
20-Nov,7.44
21-Nov,6.05
22-Nov,2.89
23-Nov,3.71
24-Nov,2
25-Nov,0.1
26-Nov,-0.53
27-Nov,-3.81
28-Nov,-5.57
29-Nov,0.19
30-Nov,3.95
1-Dec,4.76
2-Dec,4.41
3-Dec,3.28
4-Dec,1.69
5-Dec,2.58
6-Dec,1.35
7-Dec,5.86
8-Dec,8.79
9-Dec,8.73
10-Dec,-1.27
11-Dec,-1.21
12-Dec,-0.04
13-Dec,0.95
14-Dec,2.94
15-Dec,4.32
16-Dec,6.23
17-Dec,3.94
18-Dec,-2.63
19-Dec,-3.07
20-Dec,0.87
21-Dec,3.73
22-Dec,5.47
23-Dec,7.9
24-Dec,10.26
25-Dec,10.67
26-Dec,3.78
27-Dec,2.11
28-Dec,1.24
29-Dec,1.99
30-Dec,0.56
31-Dec,-1.08
1-Jan,-1.72
2-Jan,-2.12
3-Jan,-1.13
4-Jan,-0.91
5-Jan,-1.13
6-Jan,-0.01
7-Jan,-0.7
8-Jan,-0.02
9-Jan,0.27
10-Jan,-2.1
11-Jan,-0.88
12-Jan,-0.74
13-Jan,-11.36
14-Jan,-22.3
15-Jan,-20.4
16-Jan,-17.69
17-Jan,-10.46
18-Jan,-4.17
19-Jan,-12.8
20-Jan,-15.86
21-Jan,-11.73
22-Jan,-2.49
23-Jan,1.13
24-Jan,2.43
25-Jan,1.4
26-Jan,1.61
27-Jan,1.4
28-Jan,0.79
29-Jan,0.08
30-Jan,0.87
31-Jan,1.14
1-Feb,3.4
2-Feb,2.4
3-Feb,1.39
4-Feb,2.07
5-Feb,1.33
6-Feb,1.3
7-Feb,3.55
8-Feb,10.31
9-Feb,11.26
10-Feb,3.05
11-Feb,1.15
12-Feb,0.26
13-Feb,2.06
14-Feb,3.18
15-Feb,4.72
16-Feb,-2.52
17-Feb,-7.4
18-Feb,-2.04
19-Feb,0.9
20-Feb,3.44
21-Feb,8.7
22-Feb,10.87
23-Feb,6.46
24-Feb,-0.51
25-Feb,5.55
26-Feb,12.74
27-Feb,17.66
28-Feb,-1.05
29-Feb,-0.17
1-Mar,2.32
2-Mar,6.76
3-Mar,11.96
4-Mar,17.19
5-Mar,10.98
6-Mar,7.43
7-Mar,8.51
8-Mar,11.27
9-Mar,5.15
10-Mar,2.2
11-Mar,7.4
12-Mar,11.57
13-Mar,15.42
14-Mar,16.3
15-Mar,8.94
16-Mar,8.78
17-Mar,2.15
18-Mar,-1.91
19-Mar,4.87
20-Mar,3.5
21-Mar,1.81
22-Mar,4.45
23-Mar,3.12
24-Mar,5.36
25-Mar,11.68
26-Mar,7.92
27-Mar,2.69
28-Mar,7.55
29-Mar,12.16
30-Mar,15.4
31-Mar,12.87
1-Apr,14.05
2-Apr,12.56
3-Apr,2.5
4-Apr,3.19
5-Apr,4.84
6-Apr,6.19
7-Apr,10.31
8-Apr,14.74
9-Apr,14
10-Apr,12.7
11-Apr,12.65
12-Apr,11.14
13-Apr,13.35
14-Apr,20.27
15-Apr,19.13
16-Apr,20.52
17-Apr,17.74
18-Apr,16.17
19-Apr,9.82
20-Apr,6.12
21-Apr,6.57
22-Apr,10.61
23-Apr,11.62
24-Apr,8.44
25-Apr,8.55
26-Apr,12.43
27-Apr,20.62
28-Apr,20.73
29-Apr,18.14
30-Apr,18.08
1-May,19.87
2-May,20.92
3-May,19.73
4-May,20.08
5-May,16.68
6-May,18.26
7-May,20.9
8-May,20.82
9-May,18.41
10-May,15.17
11-May,16.68
12-May,19.48
13-May,19.52
14-May,17.14
15-May,18.05
16-May,17.7
17-May,20.61
18-May,21.99
19-May,24.07
20-May,23.45
21-May,24.58
22-May,20.09
23-May,20.44
24-May,21.96
25-May,20.19
26-May,19.62
27-May,18.87
28-May,18.41
29-May,16.75
30-May,16.76
31-May,18.64
1-Jun,18.9
2-Jun,19.82
3-Jun,22.61
4-Jun,22.06
5-Jun,21.65
6-Jun,20.47
7-Jun,19.89
8-Jun,19.75
9-Jun,18.67
10-Jun,15.54
11-Jun,17.58
12-Jun,21.65
13-Jun,23.58
14-Jun,24.37
15-Jun,22.2
16-Jun,24.02
17-Jun,26.08
18-Jun,24.42
19-Jun,25.64
20-Jun,26.08
21-Jun,25.78
22-Jun,25.94
23-Jun,24.56
24-Jun,24.42
25-Jun,25.23
26-Jun,24.26
27-Jun,20.8
28-Jun,23.24
29-Jun,25.73
30-Jun,19.4
1-Jul,17.48
2-Jul,21.85
3-Jul,24.22
4-Jul,23.47
5-Jul,22.51
6-Jul,22.01
7-Jul,24.1
8-Jul,23.73
9-Jul,21.92
10-Jul,21.9
11-Jul,23.61
12-Jul,22.76
13-Jul,24.4
14-Jul,26.04
15-Jul,27.23
16-Jul,24.85
17-Jul,23.4
18-Jul,18.98
19-Jul,19.23
20-Jul,20.79
21-Jul,21.83
22-Jul,23.06
23-Jul,23.52
24-Jul,23.81
25-Jul,21.67
26-Jul,20.08
27-Jul,21.43
28-Jul,23.28
29-Jul,24.32
30-Jul,25.4
31-Jul,25.98
1-Aug,25.07
2-Aug,23.36
3-Aug,25.74
4-Aug,25.82
5-Aug,26.34
6-Aug,24.5
7-Aug,21.06
8-Aug,21.73
9-Aug,19.09
10-Aug,17.64
11-Aug,18.95
12-Aug,20.33
13-Aug,21.23
14-Aug,21.8
15-Aug,22.05
16-Aug,25.38
17-Aug,22.98
18-Aug,21.94
19-Aug,19.3
20-Aug,17.05
21-Aug,16.26
22-Aug,16.8
23-Aug,19.66
24-Aug,24.12
25-Aug,24.34
26-Aug,25.57
27-Aug,27.31
28-Aug,25.65
29-Aug,26.25
30-Aug,26.4
31-Aug,21.94
1-Sep,19.62
2-Sep,16.54
3-Sep,15.78
4-Sep,19.62
5-Sep,23.26
6-Sep,19.67
7-Sep,13.6
8-Sep,13.87
9-Sep,16.55
10-Sep,20.01
11-Sep,20.71
12-Sep,20.86
